subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp4,0.2,"dev1,sw1,sw0,sw2,comp4,app2_comp4",0.413622681
sub2,dev2,app2_comp4,0.2,"dev2,sw1,sw0,sw2,comp4,app2_comp4",0.384059458
sub3,dev3,app2_comp4,0.2,"dev3,sw1,sw0,sw2,comp4,app2_comp4",0.370980606
sub4,dev4,app2_comp4,0.2,"dev4,sw1,sw0,sw2,comp4,app2_comp4",0.388180405
sub5,dev5,app2_comp4,0.4,"dev5,sw1,sw0,sw2,comp4,app2_comp4",0.394661255
sub6,dev6,app2_comp4,0.4,"dev6,sw1,sw0,sw2,comp4,app2_comp4",0.378842057
sub7,dev7,app2_comp4,0.2,"dev7,sw2,comp4,app2_comp4",0.339930143
sub8,dev8,app2_comp4,0.2,"dev8,sw2,comp4,app2_comp4",0.32413399
sub9,dev9,app2_comp4,0.2,"dev9,sw2,comp4,app2_comp4",0.35493942
sub10,dev10,app2_comp4,0.2,"dev10,sw2,comp4,app2_comp4",0.354097126
sub11,dev11,app2_comp4,0.4,"dev11,sw2,comp4,app2_comp4",0.292554569
sub12,dev12,app2_comp4,0.4,"dev12,sw2,comp4,app2_comp4",0.357031567
sub13,dev13,app2_comp1,0.2,"dev13,sw3,comp1,app2_comp1",0.769226714
sub14,dev14,app2_comp1,0.2,"dev14,sw3,comp1,app2_comp1",0.788721747
sub15,dev15,app2_comp1,0.2,"dev15,sw3,comp1,app2_comp1",0.845348635
sub16,dev16,app2_comp1,0.2,"dev16,sw3,comp1,app2_comp1",0.854600049
sub17,dev17,app2_comp1,0.4,"dev17,sw3,comp1,app2_comp1",0.584942212
sub18,dev18,app2_comp1,0.4,"dev18,sw3,comp1,app2_comp1",0.587586569
sub19,dev19,app2_comp1,0.4,"dev19,sw3,comp1,app2_comp1",0.576688336
sub20,dev20,app2_comp1,0.4,"dev20,sw3,comp1,app2_comp1",0.557552444
sub21,dev7,app1_comp1,0.3,"dev7,sw2,sw0,sw3,comp1,app1_comp1",0.793448203
sub22,dev8,app1_comp1,0.3,"dev8,sw2,sw0,sw3,comp1,app1_comp1",0.758945389
sub23,dev9,app1_comp1,0.3,"dev9,sw2,sw0,sw3,comp1,app1_comp1",0.801357862
sub24,dev10,app1_comp1,0.3,"dev10,sw2,sw0,sw3,comp1,app1_comp1",0.824536104
sub25,dev11,app1_comp1,0.5,"dev11,sw2,sw0,sw3,comp1,app1_comp1",0.695299763
sub26,dev12,app1_comp1,0.5,"dev12,sw2,sw0,sw3,comp1,app1_comp1",0.583380641
sub27,dev5,app4_comp1,0.8,"dev5,sw1,sw0,sw3,comp1,app4_comp1",0.556558189
sub28,dev6,app4_comp1,0.8,"dev6,sw1,sw0,sw3,comp1,app4_comp1",0.6854105
sub29,dev11,app4_comp1,0.8,"dev11,sw2,sw0,sw3,comp1,app4_comp1",0.746445983
sub30,dev12,app4_comp1,0.8,"dev12,sw2,sw0,sw3,comp1,app4_comp1",0.75161105
sub31,dev17,app4_comp1,0.8,"dev17,sw3,comp1,app4_comp1",0.895079767
sub32,dev18,app4_comp1,0.8,"dev18,sw3,comp1,app4_comp1",0.797671901
sub33,dev19,app4_comp1,0.8,"dev19,sw3,comp1,app4_comp1",0.849253739
sub34,dev20,app4_comp1,0.8,"dev20,sw3,comp1,app4_comp1",0.836943956
sub35,dev13,app3_comp4,0.9,"dev13,sw3,sw0,sw2,comp4,app3_comp4",0.367885466
sub36,dev14,app3_comp4,0.9,"dev14,sw3,sw0,sw2,comp4,app3_comp4",0.365367645
