subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp4,0.2,"dev1,sw1,sw2,comp4,app2_comp4",0.994420027
sub2,dev2,app2_comp4,0.2,"dev2,sw1,sw2,comp4,app2_comp4",0.885607158
sub3,dev3,app2_comp4,0.2,"dev3,sw1,sw2,comp4,app2_comp4",0.934484332
sub4,dev4,app2_comp4,0.2,"dev4,sw1,sw2,comp4,app2_comp4",0.906172948
sub5,dev5,app2_comp4,0.4,"dev5,sw1,sw2,comp4,app2_comp4",0.605544836
sub6,dev6,app2_comp4,0.4,"dev6,sw1,sw2,comp4,app2_comp4",0.585425135
sub7,dev7,app2_comp4,0.2,"dev7,sw2,comp4,app2_comp4",0.923258751
sub8,dev8,app2_comp4,0.2,"dev8,sw2,comp4,app2_comp4",0.852932589
sub9,dev9,app2_comp4,0.2,"dev9,sw2,comp4,app2_comp4",0.904917219
sub10,dev10,app2_comp4,0.2,"dev10,sw2,comp4,app2_comp4",0.861130645
sub11,dev11,app2_comp4,0.4,"dev11,sw2,comp4,app2_comp4",0.539238181
sub12,dev12,app2_comp4,0.4,"dev12,sw2,comp4,app2_comp4",0.574019737
sub13,dev13,app2_comp1,0.2,"dev13,sw3,comp1,app2_comp1",0.348446143
sub14,dev14,app2_comp1,0.2,"dev14,sw3,comp1,app2_comp1",0.362156493
sub15,dev15,app2_comp1,0.2,"dev15,sw3,comp1,app2_comp1",0.335789783
sub16,dev16,app2_comp1,0.2,"dev16,sw3,comp1,app2_comp1",0.278323044
sub17,dev17,app2_comp1,0.4,"dev17,sw3,comp1,app2_comp1",0.350572297
sub18,dev18,app2_comp1,0.4,"dev18,sw3,comp1,app2_comp1",0.278890149
sub19,dev19,app2_comp1,0.4,"dev19,sw3,comp1,app2_comp1",0.324682537
sub20,dev20,app2_comp1,0.4,"dev20,sw3,comp1,app2_comp1",0.283590543
sub21,dev7,app1_comp1,0.3,"dev7,sw2,sw3,comp1,app1_comp1",0.228625771
sub22,dev8,app1_comp1,0.3,"dev8,sw2,sw3,comp1,app1_comp1",0.230694416
sub23,dev9,app1_comp1,0.3,"dev9,sw2,sw3,comp1,app1_comp1",0.239677624
sub24,dev10,app1_comp1,0.3,"dev10,sw2,sw3,comp1,app1_comp1",0.211152679
sub25,dev11,app1_comp1,0.5,"dev11,sw2,sw3,comp1,app1_comp1",0.237519609
sub26,dev12,app1_comp1,0.5,"dev12,sw2,sw3,comp1,app1_comp1",0.240250298
sub27,dev5,app4_comp4,0.8,"dev5,sw1,sw2,comp4,app4_comp4",0.918989313
sub28,dev6,app4_comp4,0.8,"dev6,sw1,sw2,comp4,app4_comp4",0.919618255
sub29,dev11,app4_comp4,0.8,"dev11,sw2,comp4,app4_comp4",0.907462857
sub30,dev12,app4_comp4,0.8,"dev12,sw2,comp4,app4_comp4",0.878330275
sub31,dev17,app4_comp4,0.8,"dev17,sw3,sw2,comp4,app4_comp4",0.529196746
sub32,dev18,app4_comp4,0.8,"dev18,sw3,sw2,comp4,app4_comp4",0.57819136
sub33,dev19,app4_comp4,0.8,"dev19,sw3,sw2,comp4,app4_comp4",0.629198555
sub34,dev20,app4_comp4,0.8,"dev20,sw3,sw2,comp4,app4_comp4",0.645604904
sub35,dev13,app3_comp1,0.9,"dev13,sw3,comp1,app3_comp1",0.311199825
sub36,dev14,app3_comp1,0.9,"dev14,sw3,comp1,app3_comp1",0.306193731
