subscription,device,app,weight,path,QoS Score
sub1,dev1,app2_comp2,0.2,"dev1,sw1,sw0,comp2,app2_comp2",0.436749402
sub2,dev2,app2_comp2,0.2,"dev2,sw1,sw0,comp2,app2_comp2",0.433817732
sub3,dev3,app2_comp2,0.2,"dev3,sw1,sw0,comp2,app2_comp2",0.442078619
sub4,dev4,app2_comp2,0.2,"dev4,sw1,sw0,comp2,app2_comp2",0.394572645
sub5,dev5,app2_comp2,0.4,"dev5,sw1,sw0,comp2,app2_comp2",0.422028825
sub6,dev6,app2_comp2,0.4,"dev6,sw1,sw0,comp2,app2_comp2",0.309741595
sub7,dev7,app2_comp1,0.2,"dev7,sw2,comp1,app2_comp1",0.772000797
sub8,dev8,app2_comp1,0.2,"dev8,sw2,comp1,app2_comp1",0.773762237
sub9,dev9,app2_comp1,0.2,"dev9,sw2,comp1,app2_comp1",0.803019759
sub10,dev10,app2_comp1,0.2,"dev10,sw2,comp1,app2_comp1",0.790117216
sub11,dev11,app2_comp1,0.4,"dev11,sw2,comp1,app2_comp1",0.812390811
sub12,dev12,app2_comp1,0.4,"dev12,sw2,comp1,app2_comp1",0.838622144
sub13,dev13,app2_comp3,0.2,"dev13,sw3,comp3,app2_comp3",0.69678647
sub14,dev14,app2_comp3,0.2,"dev14,sw3,comp3,app2_comp3",0.699051191
sub15,dev15,app2_comp3,0.2,"dev15,sw3,comp3,app2_comp3",0.79426456
sub16,dev16,app2_comp3,0.2,"dev16,sw3,comp3,app2_comp3",0.808413164
sub17,dev17,app2_comp3,0.4,"dev17,sw3,comp3,app2_comp3",0.871349475
sub18,dev18,app2_comp3,0.4,"dev18,sw3,comp3,app2_comp3",0.832632183
sub19,dev19,app2_comp3,0.4,"dev19,sw3,comp3,app2_comp3",0.810124149
sub20,dev20,app2_comp3,0.4,"dev20,sw3,comp3,app2_comp3",0.835033228
sub21,dev7,app1_comp1,0.3,"dev7,sw2,comp1,app1_comp1",0.84479248
sub22,dev8,app1_comp1,0.3,"dev8,sw2,comp1,app1_comp1",0.836819809
sub23,dev9,app1_comp1,0.3,"dev9,sw2,comp1,app1_comp1",0.855719301
sub24,dev10,app1_comp1,0.3,"dev10,sw2,comp1,app1_comp1",0.839871816
sub25,dev11,app1_comp1,0.5,"dev11,sw2,comp1,app1_comp1",0.623336907
sub26,dev12,app1_comp1,0.5,"dev12,sw2,comp1,app1_comp1",0.464278345
sub27,dev5,app4_comp1,0.8,"dev5,sw1,sw2,comp1,app4_comp1",0.476403895
sub28,dev6,app4_comp1,0.8,"dev6,sw1,sw2,comp1,app4_comp1",0.63031752
sub29,dev11,app4_comp1,0.8,"dev11,sw2,comp1,app4_comp1",0.752681438
sub30,dev12,app4_comp1,0.8,"dev12,sw2,comp1,app4_comp1",0.81397291
sub31,dev17,app4_comp1,0.8,"dev17,sw3,sw2,comp1,app4_comp1",0.522002705
sub32,dev18,app4_comp1,0.8,"dev18,sw3,sw2,comp1,app4_comp1",0.613943978
sub33,dev19,app4_comp1,0.8,"dev19,sw3,sw2,comp1,app4_comp1",0.545896467
sub34,dev20,app4_comp1,0.8,"dev20,sw3,sw2,comp1,app4_comp1",0.537213027
sub35,dev13,app3_comp4,0.9,"dev13,sw3,comp4,app3_comp4",0.885207462
sub36,dev14,app3_comp4,0.9,"dev14,sw3,comp4,app3_comp4",0.888712318
